name,acronym,created_at,updated_at,invalid,dataset,reviewed,id,biography,canonical
ChildNet. Inc.,,2014-04-24T04:13:05.924107,2015-02-13T07:13:49.443824,False,tx-lobbying-interests,True,12388,"313 North State Road 7Plantation, FL 33317","ChildNet, Inc."
"Cherry, Vanessa (Ms.)",,2014-04-28T07:06:28.903206,2015-02-13T07:13:22.227138,False,tx-lobbying-interests,True,20994,"2100 S. IH-35Suite 202Austin, TX 78704","Cherry, Vanessa"
Ches-Lee Enterprises Inc. dba American Fireworks,,2014-04-28T07:06:28.931448,2015-02-13T07:13:05.982210,False,tx-lobbying-interests,True,20995,"P.O. Box 64Bastrop, TX 78602","Ches-Lee Enterprises, Inc."
Chevron Phillips Chemical Co LP,,2014-04-24T04:13:05.782006,2015-02-13T07:12:44.020022,False,tx-lobbying-interests,True,12381,"10001 Six Pines DriveThe Woodlands, TX 77380",Chevron Phillips Chemical Company LP
"Cheniere Energy, Inc",TX,2015-01-16T18:42:06.692163,2015-02-13T07:12:27.286230,False,tx-lobbying-interests,True,38987,"700 Milam Street Suite 800 Houston, TX 77002","Cheniere Energy, Inc."
Chesapeake Energy Corporation,,2014-04-24T04:13:05.741048,2015-02-13T07:11:32.873096,False,tx-lobbying-interests,True,12379,"P.O. Box 18496Oklahoma City, OK 73154-0496",Chesapeake Energy
Texans For Lawsuit Reform,,2014-04-24T04:13:59.609431,2015-02-12T23:46:09.380284,False,tx-lobbying-interests,True,14960,"1200 Post Oak Blvd.Suite 510Houston, TX 77056",Texans for Lawsuit Reform
Texans For Higher Education,,2014-04-28T07:08:15.176253,2015-02-12T23:45:51.439684,False,tx-lobbying-interests,True,23458,"604 West 14th StreetAustin, TX 78701",Texans for Higher Education
Tenaska Inc.,,2014-04-28T07:08:14.397786,2015-02-12T23:45:28.480168,False,tx-lobbying-interests,True,23441,"1044 N. 115 Street Ste. 400Omaha, NE 68154-4446","Tenaska, Inc."
Tenth Disrict Farm Credit Council,,2014-04-28T07:08:14.455661,2015-02-12T23:45:12.191011,False,tx-lobbying-interests,True,23442,"PO Box 202590Austin, TX 78720",Tenth District Farm Credit Council
Tesla Motors Inc,CA,2015-01-16T18:42:18.777925,2015-02-12T23:43:24.746084,False,tx-lobbying-interests,True,39298,"3500 Deer Creek Rd Palo Alto, CA 94304",Tesla Motors
Citigroup Management Corp,,2014-04-28T07:06:30.734853,2015-02-10T00:59:49.121386,False,tx-lobbying-interests,True,21038,"1101 Pennsylvania Avenue NW#1000Washington, DC 20004",Citigroup Management Corp.
Citigroup Inc,,2014-04-28T07:06:30.677235,2015-02-10T00:59:34.963446,False,tx-lobbying-interests,True,21036,"250 Carpenter FreewayDallas, TX 78266-0237",Citigroup Inc.
Citigroup Global Markets Inc.,,2014-04-24T04:13:06.548874,2015-02-10T00:59:20.423351,False,tx-lobbying-interests,True,12418,"388 Greenwich StreetNew York, NY 10013","Citigroup Global Markets, Inc."
Citigroup Global Capital Markets,,2014-04-28T07:06:30.611052,2015-02-10T00:59:11.721065,False,tx-lobbying-interests,True,21035,"390 Greenwich Street 2nd FloorNew York, NY 10013","Citigroup Global Markets, Inc."
"McMullen County, TX",,2014-04-24T04:13:36.966264,2015-02-09T20:41:08.149108,False,tx-lobbying-interests,True,13883,"P.O. Box 237Tilden, TX 78072",McMullen County
McGinnis Lochridge & Kilgore L.L.P.,,2014-04-28T07:07:29.895045,2015-02-09T20:40:46.050274,False,tx-lobbying-interests,True,22410,"600 Congress AvenueSuite 2100Austin, TX 78701","McGinnis, Lochridge & Kilgore, L.L.P."
McLane Intelligent Solutions LLC,,2014-04-28T07:07:30.311743,2015-02-09T20:40:11.231098,False,tx-lobbying-interests,True,22419,"4001 Central Pointe ParkwayTemple, TX 76504","McLane Intelligent Solutions, LLC"
McGuireWooods Consulting LLC,,2014-04-28T07:07:30.036585,2015-02-09T20:39:41.870250,False,tx-lobbying-interests,True,22413,"1122 ColoradoSuite 2399Austin, TX 78701","McGuireWoods Consulting, LLC"
"McGuireWooods Consulting, LLC",,2014-04-24T04:13:36.733074,2015-02-09T20:39:29.019412,False,tx-lobbying-interests,True,13873,"1122 ColoradoSuite 2399Austin, TX 78701","McGuireWoods Consulting, LLC"
NETWC Inc.,,2014-04-28T07:07:35.928216,2015-02-08T05:59:59.282785,False,tx-lobbying-interests,True,22546,"P.O. Box 1154Mt. Pleasant, TX 75456","NETWC, Inc."
Netspend,,2014-04-28T07:07:38.818136,2015-02-08T05:59:48.365863,False,tx-lobbying-interests,True,22614,"P.O. Box 2136Austin, TX 78768",NetSpend
NetSpend Corporation,,2014-04-28T07:07:38.788073,2015-02-08T05:59:38.456430,False,tx-lobbying-interests,True,22613,"701 Brazos Street Suite 1200PO Box 2136Austin, TX 78768-2136",NetSpend
Natural Remediation LLC,,2014-04-28T07:07:38.407342,2015-02-08T05:59:05.880998,False,tx-lobbying-interests,True,22605,"1415 Panther Executive CenterSuite 365Naples, FL 34109",Natural Remediation
National PACE Assoc.,,2014-04-28T07:07:37.920570,2015-02-08T05:58:49.177977,False,tx-lobbying-interests,True,22594,"801 North Fairfax Streetste 309Alexandia, VA 22314",National PACE Association
National Orthodontix Management PLLC,,2014-04-28T07:07:37.858473,2015-02-08T05:58:25.948016,False,tx-lobbying-interests,True,22592,"1620 South Padre Island Drive, Suite 230BCorpus Christi, TX 78416",National Orthodontix Management PLLC.
National Multiple Sclerosis Society: Lone Star,,2014-04-28T07:07:37.806719,2015-02-08T05:58:12.529365,False,tx-lobbying-interests,True,22590,"9600 N. MopacSuite 150Austin, TX 78759",National Multiple Sclerosis Society
National Multiple Slerosis Society,,2014-04-28T07:07:37.827307,2015-02-08T05:58:01.850389,False,tx-lobbying-interests,True,22591,"9600 N. MopacSuite 150Austin, TX 78759",National Multiple Sclerosis Society
National Heritage Academies Inc.,,2014-04-28T07:07:37.613057,2015-02-08T05:57:44.555868,False,tx-lobbying-interests,True,22585,"3850 Broadmoor Avenue SEGrand Rapids, MI 49512",National Heritage Academies
National Association of Theatre Owners of Texas Inc.,,2014-04-28T07:07:37.200530,2015-02-08T05:56:53.476526,False,tx-lobbying-interests,True,22576,"P O Box 200815Arlington, TX 76006-0815",National Association of Theatre Owners
"National Association of Theatre Owners of Texas, Inc",,2014-04-24T04:13:39.706936,2015-02-08T05:56:44.486248,False,tx-lobbying-interests,True,14034,"PO Box 200815Arlington, TX 76006",National Association of Theatre Owners
"National Association of Theatre Owners of Texas, Inc.",,2014-04-24T04:13:39.729605,2015-02-08T05:56:44.485384,False,tx-lobbying-interests,True,14035,"P O Box 200815Arlington, TX 76006",National Association of Theatre Owners
National Association of Social Workers/Texas Chapter,,2014-04-28T07:07:37.139443,2015-02-08T05:56:27.294604,False,tx-lobbying-interests,True,22574,"810 West 11th StreetAustin, TX 78701-2010",National Association of Social Workers - Texas Chapter
NATIONAL ASSOCIATION OF SOCIAL WORKERS/TEXAS,,2014-04-28T07:07:35.708279,2015-02-08T05:56:19.221520,False,tx-lobbying-interests,True,22542,"810 WEST 11th STREETAUSTIN, TX 78701",National Association of Social Workers - Texas Chapter
National Association Insurance & Financial Advisors-Texas,,2014-04-28T07:07:36.830384,2015-02-08T05:55:56.510123,False,tx-lobbying-interests,True,22568,"515 Congress Ave Suite 1650Austin, TX",National Association of Insurance and Financial Advisors
National Association of Insurance and Financial Advisors-Texas,,2014-04-24T04:13:39.628268,2015-02-08T05:55:35.433848,False,tx-lobbying-interests,True,14029,"515 Congress Ave, Suite 1650Austin, TX 78701",National Association of Insurance and Financial Advisors
National Association of Insurance and Financial Advisors - Texas,TX,2015-01-16T18:42:14.758525,2015-02-08T05:55:35.432747,False,tx-lobbying-interests,True,39187,"108 Wild Basin Road, Suite 160 Austin, TX 78746",National Association of Insurance and Financial Advisors
"National Association of Chain Drug Stores, Inc.",VA,2015-01-16T18:42:14.723703,2015-02-08T05:54:46.961627,False,tx-lobbying-interests,True,39186,"1776 Wilson Blvd., Suite 200 Arlington, VA 22209",National Association of Chain Drug Stores
National Association of Chain Drug Store,,2014-04-28T07:07:36.873829,2015-02-08T05:54:39.784837,False,tx-lobbying-interests,True,22569,"413 N. Lee StreetAlexandria, VA 22313",National Association of Chain Drug Stores
National Alliance on Mental Illness Texas,,2014-04-28T07:07:36.739402,2015-02-08T05:54:15.255857,False,tx-lobbying-interests,True,22565,"Fountain Park Plaza III2800 S. I-35 Suite 140Austin, TX 78704",National Alliance on Mental Illness - Texas
Natgasoline LLC,,2014-04-24T04:13:39.533133,2015-02-08T05:53:47.757166,False,tx-lobbying-interests,True,14022,"5470 N. Twin City Hwy.Nederland, TX 77627","Natgasoline, Inc."
"NARAL ProChoice Texas (a dba fro Texas Abortion Rights Action League, Inc.)",TX,2015-01-16T18:42:14.684268,2015-02-08T05:53:28.994816,False,tx-lobbying-interests,True,39185,"P.O. Box 684602 Austin, TX 78768",NARAL Pro-Choice Texas
"NARAL Pro-Choice Texas (a dba for Texas Abortion Rights Action League, Inc.)",,2014-04-24T04:13:39.235727,2015-02-08T05:53:28.994317,False,tx-lobbying-interests,True,14002,"P.O. Box 684602Austin, TX 78768",NARAL Pro-Choice Texas
NAIFA-Texas,,2014-04-24T04:13:39.209835,2015-02-08T05:52:59.178362,False,tx-lobbying-interests,True,14000,"515 Congress Suite 1650Austin, TX 78701",NAIFA Texas
"MuniServices, LLC",,2014-04-24T04:13:38.995066,2015-02-08T05:52:29.785858,False,tx-lobbying-interests,True,13985,"1400 K. StreetSacramento, CA 95814",MuniServices
MuniServices LLC,,2014-04-28T07:07:35.072983,2015-02-08T05:52:21.667396,False,tx-lobbying-interests,True,22529,"7735 N. Palm Bluffs AveFresno, CA 93711",MuniServices
NACES Plus Foundation Inc.,,2014-04-28T07:07:35.539480,2015-02-08T05:52:07.758223,False,tx-lobbying-interests,True,22538,"7600 Burnet Rd. Suite 440Austin, TX 78757","NACES Plus Foundation, Inc."
Murphy Exploration & Production Company - USA,,2014-04-24T04:13:39.060011,2015-02-08T05:51:43.712127,False,tx-lobbying-interests,True,13990,"200 Peach StreetEl Dorado, AR 71730",Murphy Oil Corporation
Murphy USA,AR,2015-01-16T18:42:14.574815,2015-02-08T05:51:30.794287,False,tx-lobbying-interests,True,39182,"P. O. Box 7300 El Dorado, AR 71731-7300",Murphy Oil Corporation
Murphy Oil USA Inc.,,2014-04-28T07:07:35.292889,2015-02-08T05:51:18.456568,False,tx-lobbying-interests,True,22533,"200 Peach StreetEl Dorado, AR 71730",Murphy Oil Corporation
"Murphy Oil USA, Inc.",,2014-04-24T04:13:39.087393,2015-02-08T05:51:18.455704,False,tx-lobbying-interests,True,13992,",",Murphy Oil Corporation
Mwmorial Hermann Health System,,2014-04-24T04:13:39.142248,2015-02-08T05:50:36.458700,False,tx-lobbying-interests,True,13995,"929 GessnerSuite 2700Houston, TX 77024",Memorial Hermann Health System
Memorial Hermann,,2014-04-24T04:13:37.345524,2015-02-08T05:50:20.328748,False,tx-lobbying-interests,True,13900,",",Memorial Hermann Health System
Memorial Hermann Healthcare System,,2014-04-28T07:07:31.575480,2015-02-08T05:50:03.684561,False,tx-lobbying-interests,True,22450,"7737 Southwest FreewaySuite 200Houston, TX",Memorial Hermann Health System
Medtronic Inc.,,2014-04-28T07:07:31.392710,2015-02-08T05:49:39.047883,False,tx-lobbying-interests,True,22446,"7000 Central Avenue NE RCE-395Minneapolis, MN 55432-3576","Medtronic, Inc."
Medipysch LLC,,2014-04-24T04:13:37.278634,2015-02-08T05:49:24.303681,False,tx-lobbying-interests,True,13897,"4314 YoakumHouston, TX 77006",Medipsych LLC
MedImmune Inc.,,2014-04-24T04:13:37.099437,2015-02-08T05:49:08.096330,False,tx-lobbying-interests,True,13889,"271 Yacthing RoadLexington, SC 29072","MedImmune Affairs, Inc"
MedImmune LLC,,2014-04-28T07:07:30.867645,2015-02-08T05:48:52.701904,False,tx-lobbying-interests,True,22433,"One MedImmune ParkwayGaithersburg, MD 20878","MedImmune Affairs, Inc"
MedImmune Affairs Inc,,2014-04-28T07:07:30.801556,2015-02-08T05:48:02.170159,False,tx-lobbying-interests,True,22432,"One MedImmune WayGaithersburg, MD 20878","MedImmune Affairs, Inc"
Texas High School Coaches Assoc.,,2014-04-28T07:08:25.562369,2015-02-07T18:16:14.987009,False,tx-lobbying-interests,True,23667,"Box 1138San Marcos, TX",Texas High School Coaches Association
Texas high School Coaches Association,,2014-04-28T07:08:32.197644,2015-02-07T18:16:07.425784,False,tx-lobbying-interests,True,23768,"Box 1138San Marcos, TX",Texas High School Coaches Association
Texas Hearing Aid Association Inc.,,2014-04-28T07:08:25.466382,2015-02-07T18:15:39.257293,False,tx-lobbying-interests,True,23665,"P. O. Box 476Austin, TX 78701","Texas Hearing Aid Association, Inc."
Texas Greyhound Association Inc.,,2014-04-28T07:08:25.177780,2015-02-07T18:15:22.983463,False,tx-lobbying-interests,True,23658,"P.O. Box 40Lorena, TX 76655-0040",Texas Greyhound Association
Texas Farm Bureau Insurance Companies,,2014-04-28T07:08:24.688850,2015-02-07T18:15:06.804878,False,tx-lobbying-interests,True,23651,"P.O. Box 2689Waco, TX 76702",Texas Farm Bureau Insurance Company
Texas Good Roads/ Transportation Association,,2014-04-28T07:08:25.076993,2015-02-07T18:14:50.126857,False,tx-lobbying-interests,True,23656,"1122 Colorado Suite 305Austin, TX 78701",Texas Good Roads/Transportation Association
Texas Federation of Animal Care Services,,2014-04-28T07:08:24.732018,2015-02-07T18:14:27.213203,False,tx-lobbying-interests,True,23652,"4702 Pinehurst Dr. SouthAustin, TX 78747",Texas Federation of Animal Care Societies
The Texas Gaming Association,,2014-04-28T07:08:35.634605,2015-02-07T18:13:59.978356,False,tx-lobbying-interests,True,23842,"13355 Noel Road Suite 1865Dallas, TX 75240",Texas Gaming Association
Texas Gaming Assocation,,2014-04-28T07:08:25.007573,2015-02-07T18:13:41.219428,False,tx-lobbying-interests,True,23655,"13355 Noel Road Suite 1865Dallas, TX 75240",Texas Gaming Association
TExas Gaming Association,,2014-04-28T07:08:11.976185,2015-02-07T18:13:28.731250,False,tx-lobbying-interests,True,23389,"13355 Noewl RToad Suite 1865Dallas, TX",Texas Gaming Association
Texas Forestry Association/Texas Logging Council,,2014-04-24T04:14:06.366541,2015-02-07T18:13:01.013113,False,tx-lobbying-interests,True,15253,"P.O. Box 1488Lufkin, TX 75902-1488",Texas Forestry Association
"Texas Forestry Association, Inc.",TX,2015-01-16T18:42:19.561400,2015-02-07T18:13:01.011958,False,tx-lobbying-interests,True,39325,"Texas Logging Council P.O. Box 1488 Lufkin, TX 75902-1488",Texas Forestry Association
Texas Fireworks Association,,2014-04-24T04:14:06.247776,2015-02-07T18:12:20.872992,False,tx-lobbying-interests,True,15248,"2565 N. Twin Cities HwyNederland, TX 77627",Texas Fireworks
Texas Famliy Law Foundation,,2014-04-24T04:14:06.080655,2015-02-07T18:11:37.121815,False,tx-lobbying-interests,True,15241,"One Greenway PlazaSte 700Houston, TX 77046",Texas Family Law Foundation
Texas Faculty Assn,,2014-04-28T07:08:24.541702,2015-02-07T18:11:23.319714,False,tx-lobbying-interests,True,23649,"316 W 12th StSte 410AAustin, TX 78701",Texas Faculty Association
Texas Electric Co-op Association,,2014-04-24T04:14:05.770550,2015-02-07T18:11:07.563584,False,tx-lobbying-interests,True,15228,"2550 South IH-35Austin, TX 78704",Texas Electric Cooperatives
Texas Employers for Immigration,,2014-04-28T07:08:24.279171,2015-02-07T18:09:58.610759,False,tx-lobbying-interests,True,23642,"1209 Nueces StreetAustin, TX 78701",Texas Employers for Immigration Reform
Texas Energy Association for Marketers (TEAM),,2014-04-24T04:14:05.937808,2015-02-07T18:09:40.261256,False,tx-lobbying-interests,True,15235,"400 W. 15th St.Suite 720Austin, TX 78701",Texas Energy Association for Marketers
Texas Entertainment Association Inc.,,2014-04-28T07:08:24.425258,2015-02-07T18:09:17.509989,False,tx-lobbying-interests,True,23646,"P.O. Box 571505Houston, TX 77257",Texas Entertainment Association
Texas Educational Diagnosticians' Association,,2014-04-28T07:08:24.148735,2015-02-07T18:08:59.204869,False,tx-lobbying-interests,True,23639,"1500 North Fork RoadGranbury, TX 76049",Texas Educational Diagnosticians Association
"Texas Driver and Traffic Safety Education Association, Don Brown",,2014-04-24T04:14:05.723269,2015-02-07T18:08:33.266434,False,tx-lobbying-interests,True,15226,"PO Box  1350Huntsville, TX 77342-1350",Texas Driver and Traffic Safety Education Association
Texas District and County Attorenys Association,,2014-04-28T07:08:23.987151,2015-02-07T18:08:13.175101,False,tx-lobbying-interests,True,23635,"505 W. 12th Street Suite 100Austin, TX 78701",Texas District and County Attorneys Association
Texas Disposal Systems Landfill Inc,,2014-04-28T07:08:23.894337,2015-02-07T18:07:58.401437,False,tx-lobbying-interests,True,23633,"PO Box 17126Austin, TX 78760-7126","Texas Disposal Systems Landfill, Inc."
Texas Disposal Systems Landfill Inc.,,2014-04-28T07:08:23.920468,2015-02-07T18:07:50.541388,False,tx-lobbying-interests,True,23634,"PO Box 17126Austin, TX 78760","Texas Disposal Systems Landfill, Inc."
"Texas Disposal Systems Landfill, Inc",,2014-04-24T04:14:05.604171,2015-02-07T18:07:42.006782,False,tx-lobbying-interests,True,15221,"PO Box 17126Austin, TX 787607126","Texas Disposal Systems Landfill, Inc."
TEXAS DISPOSAL SYSTEMS LANDFILL INC.,,2014-04-28T07:08:11.770272,2015-02-07T18:07:34.855511,False,tx-lobbying-interests,True,23383,"P.O. BOX 17126AUSTIN, TX 78760-7126","Texas Disposal Systems Landfill, Inc."
Texas Disposal System Inc.,,2014-04-28T07:08:23.834153,2015-02-07T18:07:01.553793,False,tx-lobbying-interests,True,23632,"Attn:  Bob GregoryP.O. Box 17126Austin, TX 78760",Texas Disposal Systems
Texas Disposal Systems Inc.,,2014-04-24T04:14:05.579887,2015-02-07T18:07:01.552998,False,tx-lobbying-interests,True,15220,"12200 Carl RoadBuda, TX 78610-2184",Texas Disposal Systems
"Texas Disposal Systems, Inc.",,2014-04-24T04:14:05.651329,2015-02-07T18:07:01.551142,False,tx-lobbying-interests,True,15223,"PO Box 17126Austin, TX 78760-7126",Texas Disposal Systems
"Texas Disposal System, Inc.",,2014-04-24T04:14:05.529743,2015-02-07T18:06:51.948505,False,tx-lobbying-interests,True,15218,"Attn:  Bob GregoryP.O. Box 17126Austin, TX 78760",Texas Disposal Systems
Texas Dental Hygienes'  Association,,2014-04-28T07:08:23.646095,2015-02-07T18:05:41.737877,False,tx-lobbying-interests,True,23628,"P.O. Box 162925Austin, TX 78716",Texas Dental Hygienists Association
Texas Dental Hygienists' Association,,2014-04-28T07:08:23.690655,2015-02-07T18:05:41.736735,False,tx-lobbying-interests,True,23629,"P.O. Box 162925Austin, TX 78716",Texas Dental Hygienists Association
Texas Counseling Associaiton,TX,2015-01-16T18:42:19.468316,2015-02-07T18:05:08.485150,False,tx-lobbying-interests,True,39321,"1204 San Antonio, Suite 201 Austin, TX 78701",Texas Counseling Association
Texas Dental   Association,,2014-04-28T07:08:23.588289,2015-02-07T18:04:47.716654,False,tx-lobbying-interests,True,23627,"1946 S. IH 35Austin, TX 78704",Texas Dental Association
Texas Deer Association Inc.,,2014-04-28T07:08:23.543415,2015-02-07T18:04:30.238822,False,tx-lobbying-interests,True,23626,"403 Ramsey Suite 204San Antonio, TX 78216",Texas Deer Association
Texas Deer Asscoiation,,2014-04-24T04:14:05.288779,2015-02-07T18:04:21.824738,False,tx-lobbying-interests,True,15208,"403 East RamseySuite 204San Antonio, TX 78216",Texas Deer Association
"Texas CUC Aggregation Project, Inc.",,2014-04-24T04:14:03.387682,2015-02-07T18:04:05.646115,False,tx-lobbying-interests,True,15131,"500 W. 13th. St.Austin, TX 78701",Texas CUC Aggregation Project
Texas Credit union League,,2014-04-28T07:08:23.396808,2015-02-07T18:03:51.914189,False,tx-lobbying-interests,True,23623,"4455 LBJ HighwayDallas, TX 75244",Texas Credit Union League
Texas Council Risk Management Fund,,2014-04-24T04:14:04.852802,2015-02-07T18:03:37.891565,False,tx-lobbying-interests,True,15191,"10535 Boyer Blvd, Ste 100Austin, TX 78758",Texas Council Risk Management
Texas Cotton Ginners Association,,2014-04-28T07:08:22.830747,2015-02-07T18:03:15.195055,False,tx-lobbying-interests,True,23611,"408 West 14th StreetAustin, TX 78701-1619",Texas Cotton Ginners' Association
"Texas Construction Association, Inc.",,2014-04-24T04:14:04.686590,2015-02-07T18:02:37.905797,False,tx-lobbying-interests,True,15184,"1011 San Jacinto BlvdSuite 330Austin, TX 78701-2494",Texas Construction Association
Texas Construction Association Inc.,,2014-04-28T07:08:22.682546,2015-02-07T18:02:30.384229,False,tx-lobbying-interests,True,23609,"1011 San Jacinto Blvd.Suite 330Austin, TX 78701",Texas Construction Association
Texas Competitve Power Advocates,,2014-04-28T07:08:22.484035,2015-02-07T18:02:12.789507,False,tx-lobbying-interests,True,23606,"111 Congress Avenue Suite 1400Austin, TX 78701",Texas Competitive Power Advocates
